annee,code,region,type,production
2015,24,Centre-Val de Loire,Production_nucleaire,79
2015,44,Grand-Est,Production_nucleaire,85
2015,32,Hauts-de-France,Production_nucleaire,37
2015,11,Ile-de-France,Production_nucleaire,0
2015,28,Normandie,Production_nucleaire,64
2015,75,Nouvelle-Aquitaine,Production_nucleaire,40
2015,76,Occitanie,Production_nucleaire,18
2015,93,PACA,Production_nucleaire,0
2015,52,Pays-de-la-Loire,Production_nucleaire,0
2016,84,Auvergne-Rhône-Alpes,Production_nucleaire,74
2016,27,Bourgogne-Franche-Comté,Production_nucleaire,0
2016,53,Bretagne,Production_nucleaire,0
2016,24,Centre-Val de Loire,Production_nucleaire,75
2016,44,Grand-Est,Production_nucleaire,82
2016,32,Hauts-de-France,Production_nucleaire,31
2016,11,Ile-de-France,Production_nucleaire,0
2016,28,Normandie,Production_nucleaire,57
2016,75,Nouvelle-Aquitaine,Production_nucleaire,42
2016,76,Occitanie,Production_nucleaire,19
2016,93,PACA,Production_nucleaire,0
2016,52,Pays-de-la-Loire,Production_nucleaire,0
2017,84,Auvergne-Rhône-Alpes,Production_nucleaire,79
2017,27,Bourgogne-Franche-Comté,Production_nucleaire,0
2017,53,Bretagne,Production_nucleaire,0
2017,24,Centre-Val de Loire,Production_nucleaire,74
2017,44,Grand-Est,Production_nucleaire,76
2017,32,Hauts-de-France,Production_nucleaire,31
2017,11,Ile-de-France,Production_nucleaire,0
2017,28,Normandie,Production_nucleaire,53
2017,75,Nouvelle-Aquitaine,Production_nucleaire,45
2017,76,Occitanie,Production_nucleaire,17
2017,93,PACA,Production_nucleaire,0
2017,52,Pays-de-la-Loire,Production_nucleaire,0
